	location	main_page	data_page	error_msg	source_name	comment
0	AK	http://dhss.alaska.gov/dph/Epi/id/Pages/COVID-19/monitoring.aspx			urlwatch	
1	AL	http://www.alabamapublichealth.gov/infectiousdiseases/2019-coronavirus.html			urlwatch	
2	AR	https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus			urlwatch	
3	AZ	https://phantomjscloud.com/api/browser/v2/ak-7r01w-m166n-bm6wx-r4vn0-4m2m9/?request=%7Burl%3A%27https%3A%2F%2Ftableau.azdhs.gov%2Fviews%2FCOVID-19Dashboard%2FCOVID-19table%3F%3Aembed%3Dy%26%3AshowVizHome%3Dno%26%3Ahost_url%3Dhttps%253A%252F%252Ftableau.azdhs.gov%252F%26%3Aembed_code_version%3D3%26%3Atabs%3Dno%26%3Atoolbar%3Dno%26%3AshowAppBanner%3Dfalse%26%3Adisplay_spinner%3Dno%26iframeSizedToWindow%3Dtrue%26%3AloadOrderID%3D0%27%2C%20renderType%3A%20%27jpg%27%7D			urlwatch	
4	CA	https://www.cdph.ca.gov/Programs/OPA/Pages/New-Release-2020.aspx			urlwatch	
5	CO	https://covid19.colorado.gov/data			urlwatch	
6	CT	https://portal.ct.gov/Coronavirus			urlwatch	
7	DC	https://coronavirus.dc.gov/page/coronavirus-data			urlwatch	
8	DE	https://services1.arcgis.com/PlCPCPzGOwulHUHo/arcgis/rest/services/DEMA_COVID_County_Boundary_View/FeatureServer/0/query?where=(NAME%20%3D%20%27Kent%27)%20OR%20(NAME%20%3D%20%27New%20Castle%27)%20OR%20(NAME%20%3D%20%27Sussex%27)&returnGeometry=false&outFields=*&outStatistics=%5B%7B%22statisticType%22%3A%22sum%22%2C%22onStatisticField%22%3A%22Presumptive_Positive%22%2C%22outStatisticFieldName%22%3A%22Presumptive_Positive%22%7D%5D&outFields=%2A			urlwatch	
9	FL	https://floridahealthcovid19.gov/			urlwatch	
10	GA	https://dph.georgia.gov/covid-19-daily-status-report			urlwatch	
11	HI	https://health.hawaii.gov/docd/advisories/novel-coronavirus-2019/			urlwatch	
12	IA	https://services.arcgis.com/vPD5PVLI6sfkZ5E4/arcgis/rest/services/IA_COVID19_Cases/FeatureServer/0/query?f=html&where=Confirmed%20%3C%3E%200&returnGeometry=false&spatialRel=esriSpatialRelIntersects&outFields=*&outStatistics=%5B%7B%22statisticType%22%3A%22sum%22%2C%22onStatisticField%22%3A%22Confirmed%22%2C%22outStatisticFieldName%22%3A%22ConfirmedCases%22%7D%5D&cacheHint=true			urlwatch	
13	ID	https://coronavirus.idaho.gov/			urlwatch	
14	IL	http://www.dph.illinois.gov/topics-services/diseases-and-conditions/diseases-a-z-list/coronavirus			urlwatch	
15	IN	https://services5.arcgis.com/f2aRfVsQG7TInso2/arcgis/rest/services/Coronavirus/FeatureServer/0/query?where=Counts%3E0&outFields=%2A			urlwatch	
16	KS	https://govstatus.egov.com/coronavirus			urlwatch	
17	KY	https://chfs.ky.gov/agencies/dph/Pages/covid19.aspx			urlwatch	
18	LA	https://services5.arcgis.com/O5K6bb5dZVZcTo5M/arcgis/rest/services/State_Level_Information_1/FeatureServer/0/query?f=html&where=1%3D1&returnGeometry=false&spatialRel=esriSpatialRelIntersects&outFields=*&resultOffset=0&resultRecordCount=50&cacheHint=true			urlwatch	
19	MA	https://www.mass.gov/info-details/covid-19-cases-quarantine-and-monitoring			urlwatch	
20	MD	https://services.arcgis.com/njFNhDsUCentVYJW/arcgis/rest/services/COVID19_MD_CountyCaseCounts_DEMO/FeatureServer/0/query?where=COVID19Cases%3C%3E0&returnGeometry=false&outFields=County,COVID19Cases			urlwatch	
21	ME	https://www.maine.gov/dhhs/mecdc/infectious-disease/epi/airborne/coronavirus.shtml			urlwatch	
22	MI	https://www.michigan.gov/coronavirus/0,9753,7-406-98163-520743--,00.html			urlwatch	
23	MN	https://www.health.state.mn.us/diseases/coronavirus/situation.html			urlwatch	
24	MO	https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/			urlwatch	
25	MS	https://msdh.ms.gov/msdhsite/_static/14,0,420.html			urlwatch	
26	MT	https://services.arcgis.com/qnjIrwR8z5Izc0ij/arcgis/rest/services/PUBLIC_VIEW_COVID19_CASES/FeatureServer/0/query?f=json&where=Total%20%3C%3E%200&returnGeometry=false&spatialRel=esriSpatialRelIntersects&outFields=*&outStatistics=%5B%7B%22statisticType%22%3A%22sum%22%2C%22onStatisticField%22%3A%22Total%22%2C%22outStatisticFieldName%22%3A%22value%22%7D%5D			urlwatch	
27	NE	http://dhhs.ne.gov/Pages/Coronavirus.aspx			urlwatch	
28	NH	https://www.nh.gov/covid19/			urlwatch	
29	NJ	https://www.nj.gov/health/			urlwatch	
30	NM	https://cv.nmhealth.org/			urlwatch	
31	NV	https://phantomjscloud.com/api/browser/v2/ak-7r01w-m166n-bm6wx-r4vn0-4m2m9/?request=%7Burl%3A%27https://app.powerbigov.us/view?r=eyJrIjoiMjA2ZThiOWUtM2FlNS00MGY5LWFmYjUtNmQwNTQ3Nzg5N2I2IiwidCI6ImU0YTM0MGU2LWI4OWUtNGU2OC04ZWFhLTE1NDRkMjcwMzk4MCJ9%27%2C%20renderType%3A%20%27html%27%7D			urlwatch	
32	NY	https://coronavirus.health.ny.gov/county-county-breakdown-positive-cases			urlwatch	
33	NC	https://www.ncdhhs.gov/covid-19-case-count-nc			urlwatch	
34	ND	https://phantomjscloud.com/api/browser/v2/ak-7r01w-m166n-bm6wx-r4vn0-4m2m9/?request=%7Burl%3A%27https%3A%2F%2Fapp.powerbigov.us%2Fview%3Fr%3DeyJrIjoiZThmNWQwYWYtOWY3MC00OTZjLWJmNzQtYWE0OTJmYjIzZWM3IiwidCI6IjJkZWEwNDY0LWRhNTEtNGE4OC1iYWUyLWIzZGI5NGJjMGM1NCJ9%27%2C%20renderType%3A%20%27html%27%7D			urlwatch	
35	OH	https://coronavirus.ohio.gov/wps/portal/gov/covid-19/			urlwatch	
36	OK	https://coronavirus.health.ok.gov/			urlwatch	
37	OR	https://govstatus.egov.com/OR-OHA-COVID-19			urlwatch	
38	PA	https://www.health.pa.gov/topics/disease/coronavirus/Pages/Cases.aspx			urlwatch	
39	RI	https://docs.google.com/spreadsheets/d/1n-zMS9Al94CPj_Tc3K7Adin-tN9x1RSjjx2UzJ4SV7Q/edit?rm=minimal&chrome=false&ui=1&output=html#gid=0			urlwatch	
40	SC	https://scdhec.gov/monitoring-testing-covid-19			urlwatch	
41	SD	https://doh.sd.gov/news/Coronavirus.aspx			urlwatch	
42	TN	https://www.tn.gov/health/cedep/ncov.html			urlwatch	
43	TX	https://dshs.texas.gov/news/updates.shtm#coronavirus			urlwatch	
44	UT	https://coronavirus-dashboard.utah.gov/			urlwatch	
45	VA	https://phantomjscloud.com/api/browser/v2/ak-7r01w-m166n-bm6wx-r4vn0-4m2m9/?request=%7Burl%3A%27https%3A%2F%2Fpublic.tableau.com%2Fviews%2FVirginiaCOVID-19Dashboard%2FVirginiaCOVID-19Dashboard%3F%3Aembed%3Dyes%26%3Adisplay_count%3Dyes%26%3AshowVizHome%3Dno%26%3Atoolbar%3Dno%27%2C%20renderType%3A%20%27jpg%27%7D			urlwatch	
46	VT	https://www.healthvermont.gov/response/infectious-disease/2019-novel-coronavirus			urlwatch	
47	WA	https://phantomjscloud.com/api/browser/v2/ak-7r01w-m166n-bm6wx-r4vn0-4m2m9/?request={url:%22https://www.doh.wa.gov/Emergencies/Coronavirus%22,renderType:%22html%22,%22requestSettings%22:{%22doneWhen%22:%20[{%22selector%22:%22table%22}]}}			urlwatch	
48	WI	https://services1.arcgis.com/ISZ89Z51ft1G16OK/arcgis/rest/services/COVID19_WI/FeatureServer/2/query?f=html&where=1%3D1&outFields=NEGATIVE%2CPOSITIVE%2CDEATHS%2CDATE&returnGeometry=false			urlwatch	
49	WV	https://phantomjscloud.com/api/browser/v2/ak-7r01w-m166n-bm6wx-r4vn0-4m2m9/?request=%7Burl%3A%27https%3A%2F%2Fdhhr.wv.gov%2FCOVID-19%2FPages%2Fdefault.aspx%27%2C%20renderType%3A%20%27html%27%7D			urlwatch	
50	WY	https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/			urlwatch	
51	MP	https://www.chcc.gov.mp/coronavirusinformation.php			urlwatch	
52	GU	https://ghs.guam.gov/coronavirus-covid-19			urlwatch	
53	PR	http://www.salud.gov.pr/Pages/coronavirus.aspx			urlwatch	
54	VI	https://doh.vi.gov/			urlwatch	
