	location	main_page	data_page	source_name	error_msg	comment
0	AK	http://dhss.alaska.gov/dph/Epi/id/Pages/COVID-19/default.aspx	http://dhss.alaska.gov/dph/Epi/id/Pages/COVID-19/monitoring.aspx	google-states		
1	AL	http://www.alabamapublichealth.gov/infectiousdiseases/2019-coronavirus.html	http://www.alabamapublichealth.gov/infectiousdiseases/2019-coronavirus.html	google-states		
2	AR	https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus	https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus	google-states		
3	AZ	https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home	https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home	google-states		
4	CA	https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/ncov2019.aspx	https://www.latimes.com/projects/california-coronavirus-cases-tracking-outbreak/	google-states		
5	CO	https://www.colorado.gov/pacific/cdphe/2019-novel-coronavirus	https://covid19.colorado.gov/data	google-states		
6	CT	https://portal.ct.gov/Coronavirus	https://portal.ct.gov/Coronavirus	google-states		
7	DC	https://coronavirus.dc.gov/	https://coronavirus.dc.gov/page/coronavirus-surveillance-data	google-states		
8	DE	https://dhss.delaware.gov/dhss/dph/epi/2019novelcoronavirus.html	https://dhss.delaware.gov/dhss/dph/epi/2019novelcoronavirus.html	google-states		
9	FL	http://www.floridahealth.gov/diseases-and-conditions/COVID-19/	https://experience.arcgis.com/experience/96dd742462124fa0b38ddedb9b25e429/	google-states		
10	GA	https://dph.georgia.gov/novelcoronavirus	https://dph.georgia.gov/georgia-department-public-health-covid-19-daily-status-report	google-states		
11	HI	https://health.hawaii.gov/docd/advisories/novel-coronavirus-2019/	https://hawaiicovid19.com/	google-states		
12	IA	https://idph.iowa.gov/Emerging-Health-Issues/Novel-Coronavirus	https://idph.iowa.gov/Emerging-Health-Issues/Novel-Coronavirus	google-states		
13	ID	https://coronavirus.idaho.gov/	https://coronavirus.idaho.gov/	google-states		
14	IL	http://www.dph.illinois.gov/topics-services/diseases-and-conditions/diseases-a-z-list/coronavirus	http://www.dph.illinois.gov/topics-services/diseases-and-conditions/diseases-a-z-list/coronavirus	google-states		
