Name	Url
main_sheet	https://docs.google.com/spreadsheets/d/18oVRrHj3c183mHmq3m89_163yuYltLNlOmPerQ18E8w/htmlview?sle=true#
AK.html	http://dhss.alaska.gov/dph/Epi/id/Pages/COVID-19/default.aspx
AK_data.html	http://dhss.alaska.gov/dph/Epi/id/Pages/COVID-19/monitoring.aspx
AL.html	http://www.alabamapublichealth.gov/infectiousdiseases/2019-coronavirus.html
AL_data.html	duplicate of AL
AR.html	https://www.healthy.arkansas.gov/programs-services/topics/novel-coronavirus
AR_data.html	duplicate of AR
AZ.html	https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home
AZ_data.html	duplicate of AZ
CA.html	https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/ncov2019.aspx
CA_data.html	duplicate of CA
CO.html	https://www.colorado.gov/pacific/cdphe/2019-novel-coronavirus
CO_data.html	https://docs.google.com/document/d/e/2PACX-1vRSxDeeJEaDxir0cCd9Sfji8ZPKzNaCPZnvRCbG63Oa1ztz4B4r7xG_wsoC9ucd_ei3--Pz7UD50yQD/pub
CT.html	https://portal.ct.gov/Coronavirus
CT_data.html	duplicate of CT
DC.html	https://coronavirus.dc.gov/
DC_data.html	https://coronavirus.dc.gov/page/coronavirus-surveillance-data
DE.html	https://dhss.delaware.gov/dhss/dph/epi/2019novelcoronavirus.html
DE_data.html	duplicate of DE
FL.html	http://www.floridahealth.gov/diseases-and-conditions/COVID-19/
FL_data.html	duplicate of FL
GA.html	https://dph.georgia.gov/novelcoronavirus
GA_data.html	https://dph.georgia.gov/georgia-department-public-health-covid-19-daily-status-report
HI.html	https://health.hawaii.gov/docd/advisories/novel-coronavirus-2019/
HI_data.html	duplicate of HI
IA.html	https://idph.iowa.gov/Emerging-Health-Issues/Novel-Coronavirus
IA_data.html	duplicate of IA
ID.html	https://coronavirus.idaho.gov/
ID_data.html	duplicate of ID
IL.html	http://www.dph.illinois.gov/topics-services/diseases-and-conditions/diseases-a-z-list/coronavirus
IL_data.html	duplicate of IL
IN.html	https://www.in.gov/isdh/28470.htm
IN_data.html	duplicate of IN
KS.html	http://www.kdheks.gov/coronavirus/
KS_data.html	duplicate of KS
KY.html	https://chfs.ky.gov/agencies/dph/Pages/covid19.aspx
KY_data.html	duplicate of KY
LA.html	http://ldh.la.gov/Coronavirus/
LA_data.html	duplicate of LA
MA.html	https://www.mass.gov/resource/information-on-the-outbreak-of-coronavirus-disease-2019-covid-19
MA_data.html	https://www.mass.gov/info-details/covid-19-cases-quarantine-and-monitoring
MD.html	https://phpa.health.maryland.gov/Pages/Novel-coronavirus.aspx
MD_data.html	duplicate of MD
ME.html	https://www.maine.gov/dhhs/mecdc/infectious-disease/epi/airborne/coronavirus.shtml
ME_data.html	duplicate of ME
MI.html	https://www.michigan.gov/coronavirus
MI_data.html	duplicate of MI
MN.html	https://www.health.state.mn.us/diseases/coronavirus/index.html
MN_data.html	https://www.health.state.mn.us/diseases/coronavirus/situation.html
MO.html	https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/
MO_data.html	duplicate of MO
MS.html	https://msdh.ms.gov/msdhsite/_static/14,0,420.html
MS_data.html	duplicate of MS
MT.html	https://dphhs.mt.gov/publichealth/cdepi/diseases/coronavirusmt
MT_data.html	duplicate of MT
NC.html	https://www.ncdhhs.gov/divisions/public-health/coronavirus-disease-2019-covid-19-response-north-carolina
NC_data.html	https://www.ncdhhs.gov/covid-19-case-count-north-carolina
ND.html	https://www.health.nd.gov/diseases-conditions/coronavirus
ND_data.html	https://www.health.nd.gov/diseases-conditions/coronavirus/north-dakota-coronavirus-cases
NE.html	http://dhhs.ne.gov/Pages/Coronavirus.aspx
NE_data.html	duplicate of NE
NH.html	https://www.dhhs.nh.gov/dphs/cdcs/2019-ncov.htm
NH_data.html	duplicate of NH
NJ.html	https://www.nj.gov/health/cd/topics/ncov.shtml
NJ_data.html	https://www.nj.gov/health/
NM.html	https://cv.nmhealth.org/
NM_data.html	duplicate of NM
NV.html	http://dpbh.nv.gov/coronavirus/
NV_data.html	duplicate of NV
NY.html	https://www.health.ny.gov/diseases/communicable/coronavirus/
